Uniprot_protein,Ensembl_gene,Ensembl_transcript,Ensembl_protein,Gene,Chr,Protein_length
P48740,ENSG00000127241.16,ENST00000337774.9,ENSP00000336792.5,MASP1,3,699
Q8TC57,ENSG00000159374.17,ENST00000290536.9,ENSP00000290536.5,M1AP,2,530
Q6UB28,ENSG00000172878.14,ENST00000315796.5,ENSP00000315152.4,METAP1D,2,335
Q71SY5,ENSG00000104973.18,ENST00000312865.10,ENSP00000326767.5,MED25,19,747
Q9NQG1,ENSG00000101363.12,ENST00000397151.1,ENSP00000380338.1,MANBAL,20,85
Q9NPC1,ENSG00000285203.2,ENST00000643080.1,ENSP00000494694.1,LTB4R2,CHR_HG1_PATCH,358
O00587,ENSG00000100060.18,ENST00000356998.8,ENSP00000349490.3,MFNG,22,321
O60882,ENSG00000137674.4,ENST00000260228.3,ENSP00000260228.2,MMP20,11,483
Q9BQP7,ENSG00000125871.14,ENST00000377710.10,ENSP00000366939.5,MGME1,20,344
O94851,ENSG00000133816.15,ENST00000256194.8,ENSP00000256194.4,MICAL2,11,1124
Q9NRN9,ENSG00000138382.15,ENST00000392640.6,ENSP00000376415.2,METTL5,2,209
Q9H8L6,ENSG00000173269.14,ENST00000372027.10,ENSP00000361097.4,MMRN2,10,949
Q8NB16,ENSG00000168404.13,ENST00000308807.12,ENSP00000308351.7,MLKL,16,471
P58340,ENSG00000178053.19,ENST00000355893.11,ENSP00000348157.5,MLF1,3,268
Q3V5L5,ENSG00000167889.12,ENST00000569840.6,ENSP00000456037.2,MGAT5B,17,792
Q5T3U5,ENSG00000124574.15,ENST00000372530.9,ENSP00000361608.4,ABCC10,6,1492
Q9Y605,ENSG00000179010.14,ENST00000382581.4,ENSP00000372024.4,MRFAP1,4,127
Q9BT17,ENSG00000148824.19,ENST00000317502.11,ENSP00000323047.6,MTG1,10,334
Q9Y4B5,ENSG00000168502.17,ENST00000306329.15,ENSP00000305027.11,MTCL1,18,1905
P02795,ENSG00000125148.7,ENST00000245185.6,ENSP00000245185.5,MT2A,16,61
O00533,ENSG00000134121.10,ENST00000397491.6,ENSP00000380628.2,CHL1,3,1208
O96009,ENSG00000131400.8,ENST00000253719.7,ENSP00000253719.1,NAPSA,19,420
Q5T1S8,ENSG00000184454.7,ENST00000374392.3,ENSP00000363513.2,NCMAP,1,102
Q4G0N4,ENSG00000152620.13,ENST00000381937.9,ENSP00000371362.4,NADK2,5,442
P46087,ENSG00000111641.11,ENST00000322166.9,ENSP00000313272.5,NOP2,12,812
P51513,ENSG00000139910.20,ENST00000539517.7,ENSP00000438875.2,NOVA1,14,507
Q9H1R3,ENSG00000101306.11,ENST00000375985.5,ENSP00000365152.4,MYLK2,20,596
O60287,ENSG00000142207.7,ENST00000382751.4,ENSP00000372199.3,URB1,21,2271
Q9UK39,ENSG00000151014.6,ENST00000280614.4,ENSP00000280614.2,NOCT,4,431
Q99742,ENSG00000130751.10,ENST00000449844.6,ENSP00000405290.1,NPAS1,19,590
Q06495,ENSG00000131183.11,ENST00000324417.6,ENSP00000321424.4,SLC34A1,5,639
Q9BVI4,ENSG00000288146.1,ENST00000672504.1,ENSP00000500901.1,NOC4L,CHR_HG2246_HG2248_HG2276_PATCH,516
P29474,ENSG00000164867.11,ENST00000297494.8,ENSP00000297494.3,NOS3,7,1203
Q8NCF5,ENSG00000176953.12,ENST00000320805.8,ENSP00000324792.4,NFATC2IP,16,419
Q8NEJ9,ENSG00000129460.16,ENST00000408901.8,ENSP00000386134.3,NGDN,14,315
Q9UM47,ENSG00000074181.9,ENST00000263388.7,ENSP00000263388.1,NOTCH3,19,2321
Q9Y221,ENSG00000132603.15,ENST00000254940.10,ENSP00000254940.5,NIP7,16,180
Q14494,ENSG00000082641.16,ENST00000362042.8,ENSP00000354855.3,NFE2L1,17,772
Q5TFE4,ENSG00000178425.14,ENST00000319550.9,ENSP00000326858.3,NT5DC1,6,455
Q9BRQ3,ENSG00000149761.9,ENST00000279206.8,ENSP00000279206.3,NUDT22,11,303
Q12769,ENSG00000030066.13,ENST00000378460.6,ENSP00000367721.2,NUP160,11,1436
O60462,ENSG00000118257.16,ENST00000360409.7,ENSP00000353582.3,NRP2,2,931
Q96RD2,ENSG00000255307.1,ENST00000530810.1,ENSP00000432011.1,OR52B2,11,323
A0A087WWA1,ENSG00000250719.1,ENST00000506599.1,ENSP00000480059.1,P3R3URF,1,95
Q8NGR5,ENSG00000136939.1,ENST00000259466.1,ENSP00000259466.1,OR1L4,9,311
P29803,ENSG00000163114.6,ENST00000295266.6,ENSP00000295266.4,PDHA2,4,388
Q8NHB1,ENSG00000185372.3,ENST00000329365.2,ENSP00000404102.1,OR2V1,5,315
Q8NH43,ENSG00000176246.1,ENST00000315683.1,ENSP00000319217.1,OR4L1,14,312
Q8WZ84,ENSG00000196341.3,ENST00000357821.2,ENSP00000350474.2,OR8D1,11,308
Q8NGU2,ENSG00000258083.2,ENST00000548136.1,ENSP00000448789.1,OR9A4,7,314
Q8NGR4,ENSG00000148215.4,ENST00000373680.3,ENSP00000362784.2,OR5C1,9,320
P54368,ENSG00000104904.12,ENST00000602676.6,ENSP00000473381.1,OAZ1,19,228
Q8NGG2,ENSG00000262851.2,ENST00000573647.2,ENSP00000460931.1,OR5T2,CHR_HG142_HG150_NOVEL_TEST,359
Q8WVF1,ENSG00000116885.18,ENST00000356637.9,ENSP00000349052.5,OSCP1,1,389
Q9BRQ5,ENSG00000175938.7,ENST00000318663.5,ENSP00000322249.4,ORAI3,16,295
Q8NH09,ENSG00000284723.1,ENST00000310194.1,ENSP00000310632.1,OR8S1,12,359
P04181,ENSG00000065154.12,ENST00000368845.6,ENSP00000357838.5,OAT,10,439
A0A2R8YFM6,ENSG00000285231.1,ENST00000646438.1,ENSP00000495263.1,OOSP3,11,193
Q8NGN5,ENSG00000234560.4,ENST00000431524.1,ENSP00000389072.1,OR10G8,11,311
Q13946,ENSG00000205268.10,ENST00000401827.7,ENSP00000385632.3,PDE7A,8,482
P04637,ENSG00000141510.17,ENST00000445888.6,ENSP00000391478.2,TP53,17,393
O14917,ENSG00000118946.12,ENST00000377918.8,ENSP00000367151.3,PCDH17,13,1159
Q8WW12,ENSG00000081154.12,ENST00000265260.8,ENSP00000265260.3,PCNP,3,178
O00764,ENSG00000160209.19,ENST00000291565.9,ENSP00000291565.4,PDXK,21,312
Q9Y5H1,ENSG00000081853.15,ENST00000394576.3,ENSP00000378077.2,PCDHGA2,5,932
O75781,ENSG00000099864.18,ENST00000338448.10,ENSP00000341911.4,PALM,19,387
Q9Y5H0,ENSG00000254245.2,ENST00000253812.7,ENSP00000253812.6,PCDHGA3,5,932
Q16822,ENSG00000285241.2,ENST00000645217.2,ENSP00000494919.1,PCK2,CHR_HG1_PATCH,640
Q8N807,ENSG00000169340.10,ENST00000302451.9,ENSP00000305465.4,PDILT,16,584
Q6ZW49,ENSG00000157212.19,ENST00000397192.5,ENSP00000380376.1,PAXIP1,7,1069
Q14432,ENSG00000172572.6,ENST00000359062.3,ENSP00000351957.3,PDE3A,12,1141
Q15004,ENSG00000166803.13,ENST00000300035.9,ENSP00000300035.4,PCLAF,15,111
P08237,ENSG00000152556.17,ENST00000312352.11,ENSP00000309438.7,PFKM,12,780
Q8NCC3,ENSG00000103066.13,ENST00000219345.10,ENSP00000219345.5,PLA2G15,16,412
B3GLJ2,ENSG00000236027.3,ENST00000445202.2,ENSP00000395505.1,PATE3,11,98
P14555,ENSG00000188257.11,ENST00000400520.7,ENSP00000383364.3,PLA2G2A,1,144
Q9BSJ6,ENSG00000129195.16,ENST00000250056.12,ENSP00000250056.8,PIMREG,17,248
Q96PX9,ENSG00000153404.14,ENST00000283426.11,ENSP00000283426.6,PLEKHG4B,5,1271
Q9BZM1,ENSG00000123739.11,ENST00000243501.10,ENSP00000243501.5,PLA2G12A,4,189
Q96BK5,ENSG00000254093.9,ENST00000314787.8,ENSP00000318966.3,PINX1,8,328
Q9NRX4,ENSG00000054148.18,ENST00000247665.12,ENSP00000247665.10,PHPT1,9,125
Q53H76,ENSG00000144837.9,ENST00000273371.9,ENSP00000273371.4,PLA1A,3,456
Q92521,ENSG00000069943.10,ENST00000164305.10,ENSP00000164305.5,PIGB,15,554
P16234,ENSG00000134853.12,ENST00000257290.10,ENSP00000257290.5,PDGFRA,4,1089
Q3KR16,ENSG00000008323.15,ENST00000396988.7,ENSP00000380185.3,PLEKHG6,12,790
P16112,ENSG00000157766.18,ENST00000439576.7,ENSP00000387356.2,ACAN,15,2530
Q9HDD0,ENSG00000127252.7,ENST00000264735.4,ENSP00000264735.4,PLAAT1,3,168
O15031,ENSG00000196576.15,ENST00000359337.9,ENSP00000352288.4,PLXNB2,22,1838
Q99959,ENSG00000057294.14,ENST00000070846.10,ENSP00000070846.6,PKP2,12,881
Q8TBJ4,ENSG00000148123.15,ENST00000395056.2,ENSP00000378496.1,PLPPR1,9,325
Q9H875,ENSG00000128563.13,ENST00000397912.3,ENSP00000381010.3,PRKRIP1,7,184
Q96LB8,ENSG00000163218.15,ENST00000359650.10,ENSP00000352672.5,PGLYRP4,1,373
Q86V59,ENSG00000182013.18,ENST00000313683.15,ENSP00000318131.10,PNMA8A,19,439
P15735,ENSG00000156873.16,ENST00000563588.6,ENSP00000455607.1,PHKG2,16,406
Q96N28,ENSG00000141391.14,ENST00000440960.6,ENSP00000404700.1,PRELID3A,18,172
Q9NUQ2,ENSG00000284980.2,ENST00000646327.2,ENSP00000495562.1,AGPAT5,CHR_HG76_PATCH,364
Q32ZL2,ENSG00000117598.13,ENST00000263177.5,ENSP00000263177.4,PLPPR5,1,321
Q9NRZ7,ENSG00000160216.20,ENST00000546158.1,ENSP00000443510.1,AGPAT3,21,376
O00168,ENSG00000266964.5,ENST00000612146.4,ENSP00000481244.1,FXYD1,19,92
Q8N4L2,ENSG00000155099.8,ENST00000285419.8,ENSP00000285419.3,PIP4P2,8,257
P05187,ENSG00000163283.7,ENST00000392027.3,ENSP00000375881.2,ALPP,2,535
O14830,ENSG00000156194.18,ENST00000286719.12,ENSP00000286719.6,PPEF2,4,753
P49720,ENSG00000277791.5,ENST00000619426.5,ENSP00000483688.1,PSMB3,17,205
P28072,ENSG00000142507.10,ENST00000270586.8,ENSP00000270586.3,PSMB6,17,239
P01236,ENSG00000172179.12,ENST00000306482.2,ENSP00000302150.1,PRL,6,227
Q9ULL5,ENSG00000126464.14,ENST00000418929.7,ENSP00000394510.1,PRR12,19,2036
Q8N3Z0,ENSG00000146250.7,ENST00000369700.4,ENSP00000358714.3,PRSS35,6,413
Q7RTY5,ENSG00000189099.11,ENST00000455694.6,ENSP00000401328.2,PRSS48,4,328
Q15032,ENSG00000048991.16,ENST00000264160.8,ENSP00000264160.4,R3HDM1,2,1099
Q9BRQ0,ENSG00000163348.4,ENST00000368457.3,ENSP00000357442.2,PYGO2,1,406
Q6NUM9,ENSG00000042445.14,ENST00000295802.9,ENSP00000295802.4,RETSAT,2,610
O95980,ENSG00000122707.12,ENST00000377966.4,ENSP00000367202.3,RECK,9,971
P04090,ENSG00000107014.9,ENST00000381627.4,ENSP00000371040.3,RLN2,9,185
P62491,ENSG00000103769.10,ENST00000261890.7,ENSP00000261890.2,RAB11A,15,216
P54725,ENSG00000179262.10,ENST00000586534.6,ENSP00000467024.1,RAD23A,19,363
A6NEQ0,ENSG00000242389.8,ENST00000382659.6,ENSP00000372105.2,RBMY1E,Y,496
Q96H35,ENSG00000119446.14,ENST00000417201.4,ENSP00000409315.2,RBM18,9,190
Q86UR5,ENSG00000079841.18,ENST00000521978.5,ENSP00000428417.1,RIMS1,6,1692
Q14699,ENSG00000131378.14,ENST00000334133.9,ENSP00000334153.4,RFTN1,3,578
O43182,ENSG00000047648.23,ENST00000337414.9,ENSP00000338967.4,ARHGAP6,X,974
Q5TG30,ENSG00000124143.10,ENST00000373345.8,ENSP00000362442.4,ARHGAP40,20,622
Q6PCB6,ENSG00000136379.12,ENST00000258884.5,ENSP00000258884.4,ABHD17C,15,329
Q14894,ENSG00000103316.11,ENST00000543948.5,ENSP00000440227.1,CRYM,16,314
Q8NEA5,ENSG00000177025.3,ENST00000314391.3,ENSP00000321519.2,C19orf18,19,215
Q6NV74,ENSG00000196872.12,ENST00000397899.7,ENSP00000380996.2,KIAA1211L,2,962
Q8IZ96,ENSG00000089505.17,ENST00000457188.6,ENSP00000405729.2,CMTM1,16,169
Q96BA8,ENSG00000157613.11,ENST00000621158.5,ENSP00000481956.1,CREB3L1,11,519
Q9BU40,ENSG00000101938.15,ENST00000394797.8,ENSP00000378276.4,CHRDL1,X,456
A0PK11,ENSG00000249581.2,ENST00000511148.2,ENSP00000424711.2,CLRN2,4,232
O14936,ENSG00000147044.21,ENST00000378163.6,ENSP00000367405.1,CASK,X,926
O95639,ENSG00000160917.15,ENST00000292476.10,ENSP00000292476.5,CPSF4,7,269
O75629,ENSG00000143162.9,ENST00000370509.5,ENSP00000359540.4,CREG1,1,220
P24903,ENSG00000197446.9,ENST00000331105.7,ENSP00000333534.2,CYP2F1,19,491
Q6UW02,ENSG00000119004.16,ENST00000356079.9,ENSP00000348380.4,CYP20A1,2,462
Q9P218,ENSG00000101203.16,ENST00000358894.10,ENSP00000351767.6,COL20A1,20,1284
P98187,ENSG00000186526.13,ENST00000612078.5,ENSP00000477567.1,CYP4F8,19,520
Q9P0U4,ENSG00000154832.15,ENST00000285106.10,ENSP00000285106.6,CXXC1,18,656
Q9NQM4,ENSG00000080572.13,ENST00000535523.5,ENSP00000441930.1,PIH1D3,X,214
Q7LFL8,ENSG00000171604.12,ENST00000511048.1,ENSP00000427379.1,CXXC5,5,322
Q92523,ENSG00000205560.12,ENST00000360719.6,ENSP00000353945.2,CPT1B,22,772
P01040,ENSG00000121552.4,ENST00000264474.4,ENSP00000264474.3,CSTA,3,98
Q9P021,ENSG00000119878.6,ENST00000238892.4,ENSP00000238892.3,CRIPT,2,101
Q13619,ENSG00000139842.15,ENST00000375440.9,ENSP00000364589.4,CUL4A,13,759
A6NEN9,ENSG00000204165.6,ENST00000374251.6,ENSP00000363369.4,CXorf65,X,183
Q9H4D0,ENSG00000158258.16,ENST00000458420.7,ENSP00000402460.2,CLSTN2,3,955
P35659,ENSG00000124795.17,ENST00000652576.1,ENSP00000498335.1,DEK,6,375
Q5J5C9,ENSG00000204548.4,ENST00000376314.3,ENSP00000417128.1,DEFB121,20,76
P17707,ENSG00000123505.18,ENST00000368882.8,ENSP00000357877.5,AMD1,6,334
Q8NHQ9,ENSG00000111364.16,ENST00000238146.9,ENSP00000238146.3,DDX55,12,600
P28340,ENSG00000062822.14,ENST00000601098.6,ENSP00000472600.2,POLD1,19,1107
P0CF75,ENSG00000223601.2,ENST00000422359.2,ENSP00000473842.1,EBLN1,10,366
P42892,ENSG00000117298.16,ENST00000374893.11,ENSP00000364028.6,ECE1,1,770
P42126,ENSG00000167969.13,ENST00000301729.9,ENSP00000301729.4,ECI1,16,302
Q8N8Q3,ENSG00000173818.17,ENST00000518137.6,ENSP00000429190.1,ENDOV,17,282
P41212,ENSG00000139083.11,ENST00000396373.9,ENSP00000379658.3,ETV6,12,452
Q8IW50,ENSG00000164970.15,ENST00000445726.5,ENSP00000392452.1,FAM219A,9,185
P07992,ENSG00000012061.15,ENST00000589165.5,ENSP00000468035.1,ERCC1,19,297
P41161,ENSG00000244405.8,ENST00000434744.5,ENSP00000413755.1,ETV5,3,510
Q6ZVH7,ENSG00000144488.15,ENST00000343063.8,ENSP00000339115.3,ESPNL,2,1005
P58658,ENSG00000166979.13,ENST00000300255.7,ENSP00000300255.2,EVA1C,21,441
Q8IXR5,ENSG00000168754.15,ENST00000490605.3,ENSP00000429896.1,FAM178B,2,679
O60645,ENSG00000180104.16,ENST00000315013.9,ENSP00000323377.5,EXOC3,5,745
A0PJY2,ENSG00000128610.12,ENST00000442488.7,ENSP00000411145.2,FEZF1,7,475
O15552,ENSG00000126262.4,ENST00000246549.2,ENSP00000246549.2,FFAR2,19,330
P31512,ENSG00000076258.10,ENST00000367749.4,ENSP00000356723.3,FMO4,1,558
O60258,ENSG00000158815.11,ENST00000359441.4,ENSP00000352414.3,FGF17,8,216
Q9UI08,ENSG00000196405.13,ENST00000402714.6,ENSP00000384720.2,EVL,14,416
P37268,ENSG00000079459.13,ENST00000615631.4,ENSP00000481481.1,FDFT1,8,417
Q6ZNL6,ENSG00000154783.12,ENST00000285046.10,ENSP00000285046.5,FGD5,3,1462
P09769,ENSG00000000938.13,ENST00000399173.5,ENSP00000382126.1,FGR,1,529
Q9C0D6,ENSG00000137460.8,ENST00000511601.5,ENSP00000427567.1,FHDC1,4,1143
Q8NCQ5,ENSG00000141665.13,ENST00000419743.7,ENSP00000393154.2,FBXO15,18,510
Q13643,ENSG00000183386.10,ENST00000373016.4,ENSP00000362107.3,FHL3,1,280
Q6PIJ6,ENSG00000145868.16,ENST00000340253.9,ENSP00000342023.5,FBXO38,5,1188
Q96P31,ENSG00000160856.21,ENST00000368184.8,ENSP00000357167.3,FCRL3,1,734
Q15007,ENSG00000146457.16,ENST00000621533.5,ENSP00000479438.1,WTAP,6,396
Q9HCG7,ENSG00000070610.14,ENST00000378103.7,ENSP00000367343.3,GBA2,9,927
Q8WUU5,ENSG00000157259.8,ENST00000287957.5,ENSP00000287957.3,GATAD1,7,269
Q16658,ENSG00000075618.18,ENST00000382361.8,ENSP00000371798.3,FSCN1,7,493
Q5VV16,ENSG00000204779.2,ENST00000377420.1,ENSP00000366637.1,FOXD4L5,9,416
P35637,ENSG00000089280.18,ENST00000254108.11,ENSP00000254108.7,FUS,16,526
Q9H1C3,ENSG00000120820.12,ENST00000548660.5,ENSP00000447450.1,GLT8D2,12,349
Q86XP6,ENSG00000183607.10,ENST00000328895.9,ENSP00000329292.4,GKN2,2,184
I3L273,ENSG00000261949.5,ENST00000610896.1,ENSP00000478493.1,GFY,19,518
Q8N158,ENSG00000213420.8,ENST00000292377.4,ENSP00000292377.2,GPC2,7,579
P23415,ENSG00000145888.10,ENST00000455880.2,ENSP00000411593.2,GLRA1,5,457
Q6DWJ6,ENSG00000180269.7,ENST00000570682.1,ENSP00000458791.1,GPR139,16,353
Q9NQ84,ENSG00000170412.18,ENST00000392629.3,ENSP00000376405.3,GPRC5C,17,441
A8MXD5,ENSG00000215203.2,ENST00000399770.2,ENSP00000382670.2,GRXCR1,4,290
Q14451,ENSG00000141738.14,ENST00000394209.6,ENSP00000377759.2,GRB7,17,532
A1L0T0,ENSG00000105135.16,ENST00000263383.8,ENSP00000263383.3,ILVBL,19,632
Q8TD20,ENSG00000146411.6,ENST00000275230.6,ENSP00000275230.5,SLC2A12,6,617
P57764,ENSG00000278718.3,ENST00000615119.2,ENSP00000482096.1,GSDMD,CHR_HSCHR8_3_CTG7,484
Q14526,ENSG00000177374.13,ENST00000322941.3,ENSP00000314080.3,HIC1,17,733
Q96MH2,ENSG00000168517.10,ENST00000592695.1,ENSP00000467517.1,HEXIM2,17,286
P31270,ENSG00000005073.6,ENST00000006015.4,ENSP00000006015.3,HOXA11,7,313
Q8WWQ2,ENSG00000172987.12,ENST00000370552.7,ENSP00000359583.3,HPSE2,10,592
P57058,ENSG00000142149.9,ENST00000270112.7,ENSP00000270112.2,HUNK,21,714
Q9BYI3,ENSG00000122591.12,ENST00000432176.7,ENSP00000403396.2,FAM126A,7,521
P30519,ENSG00000277424.4,ENST00000620445.3,ENSP00000478785.1,HMOX2,CHR_HSCHR16_3_CTG1,316
Q96LU5,ENSG00000148950.11,ENST00000278200.5,ENSP00000278200.1,IMMP1L,11,166
Q9BTL4,ENSG00000160888.7,ENST00000588173.1,ENSP00000465617.1,IER2,19,223
A1L1A6,ENSG00000216588.9,ENST00000402988.6,ENSP00000385592.1,IGSF23,19,192
Q96FT9,ENSG00000119650.12,ENST00000314067.10,ENSP00000324177.6,IFT43,14,208
Q8NAC3,ENSG00000163702.20,ENST00000295981.7,ENSP00000295981.3,IL17RC,3,791
Q9H1B7,ENSG00000119669.5,ENST00000238647.5,ENSP00000238647.3,IRF2BPL,14,796
Q969J5,ENSG00000164485.15,ENST00000296980.7,ENSP00000296980.2,IL22RA2,6,263
Q6UXL0,ENSG00000174564.13,ENST00000329582.9,ENSP00000328133.4,IL20RB,3,311
P00995,ENSG00000164266.10,ENST00000296695.9,ENSP00000296695.5,SPINK1,5,79
A8MSI8,ENSG00000232859.9,ENST00000379102.7,ENSP00000368396.3,LYRM9,17,78
Q86U10,ENSG00000166183.16,ENST00000551177.6,ENSP00000450040.1,ASPG,14,573
A0A075B6I0,ENSG00000211638.2,ENST00000390283.2,ENSP00000374818.2,IGLV8-61,22,122
P01703,ENSG00000211653.2,ENST00000390299.2,ENSP00000374834.2,IGLV1-40,22,118
P24043,ENSG00000196569.12,ENST00000421865.2,ENSP00000400365.2,LAMA2,6,3122
Q9BRT6,ENSG00000139233.7,ENST00000446587.2,ENSP00000437372.1,LLPH,12,129
P50851,ENSG00000198589.13,ENST00000357115.9,ENSP00000349629.3,LRBA,4,2863
Q8N1E2,ENSG00000144214.9,ENST00000409448.1,ENSP00000386923.1,LYG1,2,194
Q8NDX9,ENSG00000241713.7,ENST00000480530.1,ENSP00000417822.1,LY6G5B,CHR_HSCHR6_MHC_COX_CTG1,201
Q6ZN17,ENSG00000187772.8,ENST00000345080.5,ENSP00000344401.4,LIN28B,6,250
Q9H867,ENSG00000100483.14,ENST00000395860.7,ENSP00000379201.2,VCPKMT,14,229
P47944,ENSG00000102891.4,ENST00000219162.4,ENSP00000219162.3,MT4,16,62
Q9BYG7,ENSG00000134042.13,ENST00000398439.8,ENSP00000381465.2,MRO,18,248
Q13562,ENSG00000162992.3,ENST00000295108.3,ENSP00000295108.3,NEUROD1,2,356
Q6NZ67,ENSG00000152082.14,ENST00000281871.10,ENSP00000281871.6,MZT2B,2,158
O00159,ENSG00000197879.17,ENST00000648651.1,ENSP00000496954.1,MYO1C,17,1063
P20592,ENSG00000183486.13,ENST00000330714.8,ENSP00000333657.3,MX2,21,715
P59047,ENSG00000171487.15,ENST00000390649.8,ENSP00000375063.3,NLRP5,19,1200
P08590,ENSG00000160808.11,ENST00000662933.1,ENSP00000499577.1,MYL3,3,195
Q9H841,ENSG00000104361.10,ENST00000430223.7,ENSP00000407087.2,NIPAL2,8,383
Q05586,ENSG00000176884.15,ENST00000371561.8,ENSP00000360616.3,GRIN1,9,938
Q5C9Z4,ENSG00000146909.8,ENST00000275820.4,ENSP00000275820.3,NOM1,7,860
Q5M9Q1,ENSG00000189134.4,ENST00000343684.4,ENSP00000345716.3,NKAPL,6,402
Q9Y2I1,ENSG00000010322.16,ENST00000345716.9,ENSP00000339958.4,NISCH,3,1504
Q86WB0,ENSG00000091732.17,ENST00000358303.9,ENSP00000351052.4,ZC3HC1,7,502
O43677,ENSG00000109390.12,ENST00000539002.5,ENSP00000440133.1,NDUFC1,4,76
A6NFY4,ENSG00000189362.12,ENST00000409150.8,ENSP00000386292.3,NEMP2,2,417
Q99435,ENSG00000184613.10,ENST00000452445.6,ENSP00000394612.2,NELL2,12,816
P51956,ENSG00000136098.17,ENST00000618534.4,ENSP00000484443.1,NEK3,13,506
Q9NX40,ENSG00000109180.14,ENST00000513391.2,ENSP00000423909.2,OCIAD1,4,245
O95665,ENSG00000169006.7,ENST00000306928.6,ENSP00000303686.5,NTSR2,2,410
Q8NGJ2,ENSG00000181616.9,ENST00000641796.1,ENSP00000493308.1,OR52H1,11,320
Q8NGH3,ENSG00000178358.4,ENST00000317834.4,ENSP00000320560.3,OR2D3,11,330
O43612,ENSG00000161610.1,ENST00000293330.1,ENSP00000293330.1,HCRT,17,131
Q8N138,ENSG00000172057.10,ENST00000394169.5,ENSP00000377724.1,ORMDL3,17,153
Q15619,ENSG00000221888.4,ENST00000408896.4,ENSP00000386138.2,OR1C1,1,314
Q6IF63,ENSG00000175485.2,ENST00000311352.2,ENSP00000309673.2,OR52W1,11,320
Q6GTS8,ENSG00000162877.13,ENST00000367136.5,ENSP00000356104.4,PM20D1,1,502
Q2M2E3,ENSG00000184650.11,ENST00000328248.7,ENSP00000331086.2,ODF4,17,257
Q8N162,ENSG00000181767.3,ENST00000641311.1,ENSP00000493031.1,OR8H2,11,312
Q9NX31,ENSG00000132823.11,ENST00000255174.3,ENSP00000255174.2,OSER1,20,292
Q8NHB7,ENSG00000232382.2,ENST00000332650.5,ENSP00000373193.2,OR5K1,3,308
Q8N146,ENSG00000181761.5,ENST00000313472.3,ENSP00000323928.3,OR8H3,11,312
Q8NGN1,ENSG00000181499.2,ENST00000321252.2,ENSP00000325203.2,OR6T1,11,323
Q8NH51,ENSG00000280314.3,ENST00000623845.1,ENSP00000485634.1,OR8K3,11,312
O76099,ENSG00000127530.4,ENST00000248073.2,ENSP00000248073.2,OR7C1,19,320
Q96RD0,ENSG00000284680.1,ENST00000375013.3,ENSP00000364152.2,OR8B2,11,313
Q8NGG8,ENSG00000284609.1,ENST00000354597.4,ENSP00000346611.3,OR8B3,11,313
Q15622,ENSG00000188269.9,ENST00000594432.1,ENSP00000471977.1,OR7A5,19,319
Q8NGL3,ENSG00000186113.1,ENST00000335605.1,ENSP00000334456.1,OR5D14,11,314
Q96E52,ENSG00000162600.12,ENST00000371226.8,ENSP00000360270.3,OMA1,1,524
P78380,ENSG00000173391.9,ENST00000309539.8,ENSP00000309124.3,OLR1,12,273
P39656,ENSG00000244038.9,ENST00000415136.6,ENSP00000399457.3,DDOST,1,456
Q9Y6K5,ENSG00000111331.13,ENST00000228928.12,ENSP00000228928.7,OAS3,12,1087
Q15102,ENSG00000079462.7,ENST00000538771.5,ENSP00000444935.1,PAFAH1B3,19,231
Q9H4B0,ENSG00000128694.12,ENST00000522700.5,ENSP00000429697.1,OSGEPL1,2,414
P13725,ENSG00000099985.4,ENST00000215781.3,ENSP00000215781.2,OSM,22,252
Q9NRN5,ENSG00000116774.12,ENST00000320334.5,ENSP00000322273.4,OLFML3,1,406
Q15084,ENSG00000143870.12,ENST00000272227.7,ENSP00000272227.3,PDIA6,2,440
Q9H2J4,ENSG00000115539.14,ENST00000264254.11,ENSP00000264254.6,PDCL3,2,239
Q8IVA1,ENSG00000174788.10,ENST00000311069.6,ENSP00000310585.4,PCP2,19,136
Q9BYU1,ENSG00000105717.14,ENST00000251203.14,ENSP00000251203.5,PBX4,19,374
Q9BTK6,ENSG00000280789.2,ENST00000320330.8,ENSP00000326519.6,PAGR1,16,254
Q9BYG4,ENSG00000178184.16,ENST00000353265.8,ENSP00000343144.3,PARD6G,18,376
F5H284,ENSG00000256374.2,ENST00000544708.2,ENSP00000439444.1,PPIAL4D,1,164
Q7Z2X7,ENSG00000234068.7,ENST00000374968.9,ENSP00000364107.4,PAGE2,X,111
P01210,ENSG00000181195.11,ENST00000451791.7,ENSP00000400894.2,PENK,8,267
O60437,ENSG00000118898.16,ENST00000345988.7,ENSP00000340510.2,PPL,16,1756
O43164,ENSG00000198961.10,ENST00000361557.4,ENSP00000355284.3,PJA2,5,708
Q99497,ENSG00000116288.13,ENST00000377488.5,ENSP00000366708.1,PARK7,1,189
P41219,ENSG00000135406.14,ENST00000257860.9,ENSP00000257860.4,PRPH,12,470
Q9HB21,ENSG00000107679.14,ENST00000433307.2,ENSP00000394416.1,PLEKHA1,10,404
P10720,ENSG00000109272.4,ENST00000226524.4,ENSP00000226524.3,PF4V1,4,104
P15259,ENSG00000164708.6,ENST00000297283.4,ENSP00000297283.3,PGAM2,7,253
Q9H0N5,ENSG00000132570.15,ENST00000512783.5,ENSP00000421544.1,PCBD2,5,130
Q8IYB4,ENSG00000114757.19,ENST00000467460.6,ENSP00000419975.1,PEX5L,3,626
P53611,ENSG00000137955.16,ENST00000319942.8,ENSP00000317473.3,RABGGTB,1,331
